# Copyright (C) 1991-2010 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 9.1 Build 350 03/24/2010 Service Pack 2 SJ Full Version
# File: C:\Users\tb\Desktop\vhdl-wordpad\Wordpad.csv
# Generated on: Sat Jun 07 03:49:07 2014

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
click,Input,PIN_30,2,B2_N1,,
Clock100M_FPGAE,Input,PIN_210,4,B4_N1,,
hs,Output,PIN_237,3,B3_N1,,
PS2_keyboard_clk,Bidir,PIN_194,4,B4_N0,,
PS2_keyboard_Data,Bidir,PIN_195,4,B4_N0,,
PS2_mouse_clk,Bidir,PIN_192,4,B4_N0,,
PS2_mouse_Data,Bidir,PIN_191,4,B4_N0,,
reset,Input,PIN_153,5,B5_N1,,
VGA_B[2],Output,PIN_230,3,B3_N1,,
VGA_B[1],Output,PIN_228,3,B3_N1,,
VGA_B[0],Output,PIN_226,3,B3_N1,,
VGA_G[2],Output,PIN_233,3,B3_N1,,
VGA_G[1],Output,PIN_232,3,B3_N1,,
VGA_G[0],Output,PIN_231,3,B3_N1,,
VGA_R[2],Output,PIN_236,3,B3_N1,,
VGA_R[1],Output,PIN_235,3,B3_N1,,
VGA_R[0],Output,PIN_234,3,B3_N1,,
vs,Output,PIN_238,3,B3_N1,,
,Unknown,PIN_1,,,,
,Unknown,PIN_2,,,,
,Unknown,PIN_3,,,,
,Unknown,PIN_4,2,B2_N0,,
,Unknown,PIN_5,2,B2_N0,,
,Unknown,PIN_6,2,B2_N0,,
,Unknown,PIN_7,2,B2_N0,,
,Unknown,PIN_8,2,B2_N0,,
,Unknown,PIN_9,2,B2_N0,,
,Unknown,PIN_10,2,,,
,Unknown,PIN_11,2,B2_N0,,
,Unknown,PIN_12,,,,
,Unknown,PIN_13,2,B2_N0,,
,Unknown,PIN_14,2,B2_N0,,
,Unknown,PIN_15,2,B2_N1,,
,Unknown,PIN_16,2,B2_N1,,
,Unknown,PIN_17,,,,
,Unknown,PIN_18,2,B2_N1,,
,Unknown,PIN_19,2,,,
,Unknown,PIN_20,2,B2_N1,,
,Unknown,PIN_21,2,B2_N1,,
,Unknown,PIN_22,2,B2_N1,,
,Unknown,PIN_23,2,B2_N1,,
,Unknown,PIN_24,2,B2_N1,,
,Unknown,PIN_25,2,B2_N1,,
,Unknown,PIN_26,2,B2_N1,,
,Unknown,PIN_27,2,B2_N1,,
,Unknown,PIN_28,,,,
,Unknown,PIN_29,2,B2_N1,,
,Unknown,PIN_31,2,B2_N1,,
,Unknown,PIN_32,,,,
,Unknown,PIN_33,2,B2_N1,,
,Unknown,PIN_34,1,B1_N0,,
,Unknown,PIN_35,1,B1_N0,,
,Unknown,PIN_36,1,,,
,Unknown,PIN_37,1,B1_N0,,
,Unknown,PIN_38,1,B1_N0,,
,Unknown,PIN_39,1,B1_N0,,
,Unknown,PIN_40,,,,
,Unknown,PIN_41,1,B1_N0,,
,Unknown,PIN_42,1,B1_N0,,
,Unknown,PIN_43,,,,
,Unknown,PIN_44,1,B1_N0,,
,Unknown,PIN_45,,,,
,Unknown,PIN_46,1,B1_N1,,
,Unknown,PIN_47,1,B1_N1,,
,Unknown,PIN_48,,,,
,Unknown,PIN_49,1,B1_N1,,
,Unknown,PIN_50,1,B1_N1,,
,Unknown,PIN_51,1,B1_N1,,
